LandCover,2001,2004,2006,2008,2011,2013,2016,2019,2021
Barren land,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3
Cultivated crops,0,0,0,0,0,0,0,0,0
"Developed, High intensity",4.8,4.9,5,5,5.1,5.2,5.3,5.4,5.5
"Developed, Low intensity",18.3,18.4,18.4,18.5,18.5,18.4,18.4,18.3,18.3
"Developed, Medium intensity",14.7,15,15.3,15.5,15.8,16,16.2,16.4,16.5
"Developed, Open space",10.9,10.9,11,11,11,10.9,10.8,10.7,10.6
Emergent herbaceous wetlands,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Forest, Deciduous",3,3,2.9,2.9,2.9,2.9,2.9,2.8,2.8
"Forest, Evergreen",26.5,26.4,26.2,26.1,25.9,26.1,26.3,27.3,27.5
"Forest, Mixed",13.8,13.6,13.4,13.3,13.2,13.3,13.3,13.3,13.2
Grasslands/Herbaceous,0.8,0.7,0.6,0.7,0.6,0.5,0.5,0.4,0.5
Pasture/Hay,1.2,1.2,1.1,1.1,1.1,1.1,1,1,1
Shrub/Scrub,3.2,3.2,3.3,3.1,3.2,3,2.7,1.7,1.4
Woody wetlands,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
Total Developed,48.6,49.1,49.8,50,50.5,50.5,50.7,50.9,50.9
Total Impervious,20.7,21,21.4,21.5,21.8,22,22.2,22.4,22.5
