LandCover,2001,2004,2006,2008,2011,2013,2016,2019,2021
Barren land,0.432,0.402,0.368,0.361,0.318,0.309,0.302,0.296,0.308
Cultivated crops,0.012,0.011,0.009,0.009,0.009,0.01,0.015,0.015,0.014
"Developed, High intensity",4.804,4.882,4.988,5.022,5.126,5.22,5.33,5.438,5.459
"Developed, Low intensity",18.253,18.385,18.445,18.527,18.541,18.45,18.389,18.323,18.292
"Developed, Medium intensity",14.725,14.952,15.344,15.525,15.752,15.961,16.201,16.397,16.488
"Developed, Open space",10.854,10.885,11.016,10.971,11.042,10.9,10.803,10.703,10.629
Emergent herbaceous wetlands,0.534,0.531,0.533,0.507,0.519,0.505,0.529,0.518,0.52
"Forest, Deciduous",2.998,2.967,2.926,2.912,2.899,2.891,2.867,2.846,2.841
"Forest, Evergreen",26.469,26.352,26.158,26.108,25.914,26.06,26.258,27.298,27.53
"Forest, Mixed",13.84,13.628,13.351,13.341,13.212,13.277,13.289,13.259,13.218
Grasslands/Herbaceous,0.758,0.728,0.624,0.67,0.568,0.515,0.482,0.426,0.531
Pasture/Hay,1.236,1.178,1.109,1.092,1.065,1.064,1.046,1.04,1.035
Shrub/Scrub,3.201,3.209,3.273,3.099,3.179,3.037,2.726,1.675,1.372
Woody wetlands,1.827,1.829,1.8,1.778,1.758,1.764,1.77,1.764,1.763
Total Developed,48.636,49.105,49.794,50.046,50.462,50.531,50.723,50.862,50.869
Total Impervious,20.713,20.981,21.356,21.53,21.779,21.961,22.193,22.39,22.452
